ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,Value,description,image,link,pps,subpart_no
1,22nF,C4,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
2,0.1uF,"C2, C3, C5, C6, C7, C13, C17, C20, C21, C27, C28, C33, C34",C0805,13,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
3,HDR-M-2.54_1x1,"GND, 5V",HDR-M-2.54_1X1,2,,,LCSC,C81276,0.001,1,HDR-M-2.54_1x1,LCEDA_Lib,,,,,,
4,1N5819,"D6, D7",SOD-123_FOR-5819,2,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.035,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,https://item.szlcsc.com/301422.html,,
5,Ferrite,"F1, F2",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
6,IDC Box 2.54mm 2X5P,P1,EURO_PWR_HEADER_LOCK,1,IDC Box 2.54mm 2X5P,BOOMELE,LCSC,C5665,0.011,10,,rossgrady,,,//image.lceda.cn/szlcsc/C5665.jpg,,,
7,2N3904(TO-92),"Q1, Q2",TO92,2,2N3904,SEMTECH,LCSC,C118538,0.003,3,,LCEDA_Lib,,,,,,
8,CD4046BNSR,"U4, U8",SO-16_L10.3-W5.3-P1.27-LS7.8-BL,2,CD4046BNSR,TI(德州仪器),LCSC,C2651237,0.089,16,SO-16_L10.3-W5.3-P1.27-LS7.8-BL,LCSC,,,,https://www.ti.com/lit/ds/symlink/cd4046b.pdf,,
9,NCV2951CDR2G,U7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,NCV2951CDR2G,ON(安森美),LCSC,C603885,0.064,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,LCSC,,,,https://so.szlcsc.com/global.html?c=&k=C9843,,
10,1M,"VR1, VR2",PV36W-MULTITURN-TRIMMER,2,PV36W102C01B00,Bourns,Mouser,81-PV36W102C01B00,,3,,Sikander,,,,,,
11,TL074_SMD,"U1, U3, U9",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,3,,,,,,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,rossgrady,,,,https://item.szlcsc.com/7253.html,,1
12,SSI2164 SOIC-16,U2,SSI2164,1,,,,,,16,,siri87,,,,https://cabintechglobal.com/ssi2164,,1
13,TL072_SMD,U6,SO08,1,,,,,,8,,rossgrady,,,,,,1
14,WIMA 680pF,C15,CAP- 2.5*4.6*7,1,FKP0D002200B00HSSD,,Mouser,,,2,,numaxim,220pf,,,,100pf,
15,WIMA 220pF,"C16, C19",CAP- 2.5*4.6*7,2,FKP0D002200B00HSSD,,Mouser,,,2,,numaxim,220pf,,,,100pf,
16,27nF,C1,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
17,10nF,C8,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCSC,,,,https://item.szlcsc.com/373011.html,,
18,10uF,"C9, C12",C0805,2,?,,,,,2,C0805_L2.0-W1.3-H1.3,SparkFun,,Capacitor,,https://item.szlcsc.com/373011.html,,
19,100pF,"C10, C11",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
20,1uF,C14,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCSC,,,,https://item.szlcsc.com/373011.html,,
21,2.2uF,C18,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
22,1.2nF,"C24, C29, C31, C74",C0805,4,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
23,100k,"R1, R3, R4, R8, R10, R11, R12, R16, R18, R20, R23, R26, R28, R33, R43, R44, R47, R48, R49, R129",R0805,20,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
24,220k,"R2, R22, R34",R0805,3,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
25,2M,"R5, R15",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
